Bacillus subtilis,Bacillus subtilis
Bacillus thermantarcticus,Parageobacillus thermantarcticus
Bacillus thermoaerophilus,Aneurinibacillus thermoaerophilus
Bacillus thermoantarcticus,Parageobacillus thermantarcticus
Bacillus thermocatenulatus,Geobacillus thermocatenulatus
Bacillus thermocloaceae,Bacillus thermocloacae
Bacillus thermodenitrificans,Geobacillus thermodenitrificans
Bacillus thermoglucosidasius,Parageobacillus thermoglucosidasius
Bacillus thermoleovorans,Geobacillus thermoleovorans
Bacillus thermoruber,Brevibacillus thermoruber
Bacillus thermosphaericus,Ureibacillus thermosphaericus
Bacillus thiaminolyticus,Paenibacillus thiaminolyticus
Bacillus thioparus,Bacillus thioparans
Bacillus tusciae,Kyrpidia tusciae
Bacillus validus,Paenibacillus validus
Bacillus vulcani,Geobacillus vulcani
Bacillus weihenstephanensis,Bacillus mycoides
Bacteriolyticum unavailable,Bacteriovorax unavailable
Bacterionema matruchotii,Corynebacterium matruchotii
Bacterionema unavailable,Corynebacterium unavailable
Bacteriovorax litoralis,Halobacteriovorax litoralis
Bacteriovorax marinus,Halobacteriovorax marinus
Bacteriovorax starrii,Peredibacter starrii
Bacteroides amylophilus,Ruminobacter amylophilus
Bacteroides asaccharolyticus,Porphyromonas asaccharolytica
Bacteroides bivius,Prevotella bivia
Bacteroides buccae,Prevotella buccae
Bacteroides buccalis,Prevotella buccalis
Bacteroides capillosus,Pseudoflavonifractor capillosus
Bacteroides capillus,Prevotella buccae
Bacteroides cellulosolvens,Pseudobacteroides cellulosolvens
Bacteroides chinchillae,Bacteroides sartorii
Bacteroides corporis,Prevotella corporis
Bacteroides denticola,Prevotella denticola
Bacteroides disiens,Prevotella disiens
Bacteroides distasonis,Parabacteroides distasonis
Bacteroides endodontalis,Porphyromonas endodontalis
Bacteroides furcosus,Anaerorhabdus furcosa
Bacteroides gingivalis,Porphyromonas gingivalis
Bacteroides goldsteinii,Parabacteroides goldsteinii
Bacteroides gracilis,Campylobacter gracilis
Bacteroides heparinolyticus,Prevotella heparinolytica
Bacteroides hypermegas,Megamonas hypermegale
Bacteroides intermedius,Prevotella intermedia
Bacteroides levii,Porphyromonas levii
Bacteroides loescheii,Prevotella loescheii
Bacteroides macacae,Porphyromonas macacae
